data_filename,num_context_layers,embedding_size,batch_size,mode,gpu,attempts,final_returncode,status,ckpt_path,log_path,best_val_loss,best_val_top10,best_val_top25,best_val_top50,best_test_loss,best_test_top10,best_test_top25,best_test_top50,best_triadic,best_epoch
gemma3-4b-bc-split-1_embeddings_last_3turns,3,64,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=1024.log,6.059,0.492,0.727,0.904,6.431,0.403,0.66,0.869,0.729,20
llama3.1-8b-bc_slash-best_embeddings_last_3turns,2,64,4096,combined,2,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=2__emb=64__bs=4096.log,7.34,0.488,0.723,0.899,7.477,0.465,0.717,0.901,0.76,16
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.559,0.488,0.725,0.901,6.867,0.436,0.691,0.884,0.753,10
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,3,64,2048,combined,6,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.554,0.488,0.717,0.897,6.865,0.424,0.692,0.886,0.747,11
gemma3-4b-bc-split-1_embeddings_last_3turns,3,64,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.563,0.487,0.724,0.902,6.88,0.432,0.691,0.884,0.75,17
gemma3-4b-bc-split-1_embeddings_last_3turns,3,128,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=4096.log,7.332,0.486,0.724,0.902,7.482,0.463,0.71,0.898,0.74,20
llama3.1-8b-bc_slash-best_embeddings_last_3turns,3,64,4096,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=4096.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=64__bs=4096.log,7.34,0.486,0.717,0.896,7.482,0.46,0.715,0.895,0.743,16
gemma3-4b-bc-split-1_embeddings_last_3turns,4,256,2048,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=2048.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=256__bs=2048.log,6.56,0.486,0.72,0.904,6.87,0.426,0.685,0.885,0.753,14
qwen2.5-7b-bc_slash-best_embeddings_last_3turns,3,128,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-3turns__mode=combined__ctx=3__emb=128__bs=1024.log,6.035,0.486,0.72,0.901,6.409,0.404,0.657,0.868,0.753,7
gemma3-4b-bc-split-1_embeddings_last_3turns,4,128,1024,combined,5,1,0,OK,sweeps_w_test_sets_3turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=1024.pth,sweeps_w_test_sets_3turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-3turns__mode=combined__ctx=4__emb=128__bs=1024.log,6.044,0.486,0.723,0.903,6.413,0.401,0.66,0.871,0.764,17
