data_filename,num_context_layers,embedding_size,batch_size,mode,gpu,attempts,final_returncode,status,ckpt_path,log_path,best_val_loss,best_val_top10,best_val_top25,best_val_top50,best_test_loss,best_test_top10,best_test_top25,best_test_top50,best_triadic,best_epoch
gemma3-4b-bc-split-1_embeddings_last_1turns,2,64,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=2__emb=64__bs=2048.log,6.712,0.434,0.682,0.876,6.954,0.401,0.657,0.871,0.722,17.0
gemma3-4b-bc-split-1_embeddings_last_1turns,4,256,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=2048.log,6.709,0.434,0.677,0.879,6.945,0.4,0.656,0.866,0.753,18.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,4,256,2048,combined,1,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=256__bs=2048.log,6.731,0.433,0.671,0.876,6.963,0.399,0.657,0.865,0.74,18.0
gemma3-4b-bc-split-1_embeddings_last_1turns,4,64,2048,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.704,0.433,0.677,0.872,6.939,0.392,0.656,0.865,0.74,18.0
gemma3-4b-bc-split-1_embeddings_last_1turns,4,64,1024,combined,2,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=gemma3-4b-bc-split-1-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=1024.log,6.199,0.432,0.681,0.88,6.464,0.377,0.638,0.857,0.736,19.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,3,64,1024,combined,1,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=1024.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=1024.log,6.235,0.432,0.673,0.873,6.493,0.372,0.631,0.852,0.736,20.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,4,128,2048,combined,7,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=128__bs=2048.log,6.73,0.431,0.675,0.875,6.956,0.399,0.659,0.865,0.733,14.0
qwen2.5-7b-bc_slash-best_embeddings_last_1turns,3,64,2048,combined,6,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=qwen2-5-7b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.73,0.431,0.674,0.874,6.956,0.397,0.652,0.863,0.743,17.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,3,64,2048,combined,3,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=3__emb=64__bs=2048.log,6.742,0.431,0.676,0.869,6.952,0.396,0.657,0.869,0.736,19.0
llama3.1-8b-bc_slash-best_embeddings_last_1turns,4,64,2048,combined,6,1,0,OK,sweeps_w_test_sets_1turns/contrastive_ckpts/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=2048.pth,sweeps_w_test_sets_1turns/contrastive_logs/df=llama3-1-8b-bc-slash-best-embeddings-last-1turns__mode=combined__ctx=4__emb=64__bs=2048.log,6.715,0.431,0.679,0.871,6.946,0.395,0.658,0.867,0.767,18.0
